# START  block=100000000  threads=4  time_limit=21600s  scanning n>=2
FOUND n=2  r=2  n-r=0  n+r=4  [palindrome]
FOUND n=8  r=8  n-r=0  n+r=16  [palindrome]
FOUND n=65  r=56  n-r=9  n+r=121  [NON-PALINDROME ***]
FOUND n=242  r=242  n-r=0  n+r=484  [palindrome]
FOUND n=20402  r=20402  n-r=0  n+r=40804  [palindrome]
FOUND n=24642  r=24642  n-r=0  n+r=49284  [palindrome]
FOUND n=621770  r=77126  n-r=544644  n+r=698896  [NON-PALINDROME ***]
FOUND n=200040002  r=200040002  n-r=0  n+r=400080004  [palindrome]
FOUND n=2004002  r=2004002  n-r=0  n+r=4008004  [palindrome]
FOUND n=2138312  r=2138312  n-r=0  n+r=4276624  [palindrome]
FOUND n=2468642  r=2468642  n-r=0  n+r=4937284  [palindrome]
FOUND n=204060402  r=204060402  n-r=0  n+r=408120804  [palindrome]
FOUND n=242484242  r=242484242  n-r=0  n+r=484968484  [palindrome]
FOUND n=85099058  r=85099058  n-r=0  n+r=170198116  [palindrome]
FOUND n=281089082  r=280980182  n-r=108900  n+r=562069264  [NON-PALINDROME ***]
FOUND n=291080192  r=291080192  n-r=0  n+r=582160384  [palindrome]
FOUND n=2022652202  r=2022562202  n-r=90000  n+r=4045214404  [NON-PALINDROME ***]
FOUND n=2042832002  r=2002382402  n-r=40449600  n+r=4045214404  [NON-PALINDROME ***]
FOUND n=20000400002  r=20000400002  n-r=0  n+r=40000800004  [palindrome]
FOUND n=20442824402  r=20442824402  n-r=0  n+r=40885648804  [palindrome]
FOUND n=24204840242  r=24204840242  n-r=0  n+r=48409680484  [palindrome]
FOUND n=29956665992  r=29956665992  n-r=0  n+r=59913331984  [palindrome]
FOUND n=88484148488  r=88484148488  n-r=0  n+r=176968296976  [palindrome]
FOUND n=297738837792  r=297738837792  n-r=0  n+r=595477675584  [palindrome]
FOUND n=868591084757  r=757480195868  n-r=111110888889  n+r=1626071280625  [NON-PALINDROME ***]
FOUND n=872546974178  r=871479645278  n-r=1067328900  n+r=1744026619456  [NON-PALINDROME ***]
FOUND n=872568754178  r=871457865278  n-r=1110888900  n+r=1744026619456  [NON-PALINDROME ***]
FOUND n=2000004000002  r=2000004000002  n-r=0  n+r=4000008000004  [palindrome]
FOUND n=2004006004002  r=2004006004002  n-r=0  n+r=4008012008004  [palindrome]
FOUND n=2040608060402  r=2040608060402  n-r=0  n+r=4081216120804  [palindrome]
FOUND n=2420048400242  r=2420048400242  n-r=0  n+r=4840096800484  [palindrome]
# STOP  exhaustive up to n=5411800000002  (all blocks < 54118 complete)  elapsed=21601s  rate=2.505e+08 n/s
